product_category_name_english,total_order,mean_review_score
agro_industry_and_commerce,182,4.0
air_conditioning,249,3.969178082191781
art,200,3.9371980676328504
arts_and_craftmanship,23,4.125
audio,347,3.8254847645429364
auto,3877,4.065511511986708
baby,2860,4.01148670823761
bed_bath_table,9313,3.8956631049654304
books_general_interest,508,4.446265938069216
books_imported,53,4.4
books_technical,257,4.368421052631579
cds_dvds_musicals,12,4.642857142857143
christmas_supplies,126,4.02054794520548
cine_photo,65,4.205479452054795
computers,178,4.175
computers_accessories,6649,3.9308192126385526
consoles_games,1052,4.0230700976042595
construction_tools_construction,743,4.052915766738661
construction_tools_lights,241,4.054054054054054
construction_tools_safety,166,3.844559585492228
cool_stuff,3599,4.146341463414634
costruction_tools_garden,194,4.054166666666666
costruction_tools_tools,94,4.444444444444445
diapers_and_hygiene,27,3.2564102564102564
drinks,296,4.047745358090186
dvds_blu_ray,58,4.079365079365079
electronics,2531,4.037468170243725
fashio_female_clothing,39,3.78
fashion_bags_accessories,1854,4.144678764100049
fashion_childrens_clothes,8,4.5
fashion_male_clothing,111,3.6412213740458017
fashion_shoes,236,4.233716475095785
fashion_sport,27,4.258064516129032
fashion_underwear_beach,120,3.976923076923077
fixed_telephony,214,3.683206106870229
flowers,28,4.419354838709677
food,445,4.218181818181818
food_drink,226,4.315412186379929
furniture_bedroom,95,4.118181818181818
furniture_decor,6398,3.9034929780338494
furniture_living_room,417,3.904382470119522
furniture_mattress_and_upholstery,38,3.8157894736842106
garden_tools,3496,4.042735042735043
health_beauty,8771,4.1427682737169516
home_appliances,761,4.172456575682382
home_appliances_2,232,4.142857142857143
home_comfort_2,23,3.6296296296296298
home_confort,395,3.829885057471264
home_construction,487,3.94
housewares,5843,4.055019444044361
industry_commerce_and_business,233,4.101503759398496
kitchen_dining_laundry_garden_furniture,246,3.9642857142857144
la_cuisine,12,4.0
luggage_accessories,1030,4.315257352941177
market_place,278,4.019417475728155
music,38,4.2105263157894735
musical_instruments,622,4.152592592592592
office_furniture,1263,3.4931831653823355
party_supplies,39,3.7674418604651163
perfumery,3150,4.161940952937737
pet_shop,1701,4.185146982980918
security_and_services,2,2.5
signaling_and_security,138,4.086294416243655
small_appliances,624,4.149187592319055
small_appliances_home_oven_and_coffee,75,4.302631578947368
sports_leisure,7669,4.107986111111111
stationery,2295,4.193857199840447
tablets_printing_image,77,4.1234567901234565
telephony,4168,3.946867389860527
toys,3853,4.158640919090687
watches_gifts,5576,4.019159663865546
